,country,value,Longitude,Latitude
0,Afghanistan,94752,66.2385139,33.7680065
1,Albania,12096,19.9999619,41.000028
2,Algeria,4032,2.9999825,28.0000272
3,Anguilla,2016,-63.0750234,18.1954947
4,Antigua,2016,-61.78629453333333,17.086
5,Argentina,2016,-64.9672817,-34.9964963
6,Armenia,22176,44.6736646,40.7696272
7,Aruba,2016,-69.9609842,12.4902998
8,Azerbaijan,2016,47.7872508,40.3936294
9,Bahamas,4032,-78.0000547,24.7736546
10,Bahrain,2016,50.5344606,26.1551249
11,Bangladesh,14112,90.2932426,24.4768783
12,Barbados,2016,-59.5250305,13.1500331
13,Belarus,22176,27.6971358,53.4250605
14,Benin,2016,2.31006719638123,9.2231105
15,Bosnia,2016,17.5961467,44.3053476
16,Botswana,2016,24.5928742,-23.1681782
17,Brazil,2016,-53.2,-10.3333333
18,Burkina Faso,12096,-1.6880314,12.0753083
19,Burundi,12096,29.8870575,-3.3634357
20,Cambodia,2016,104.869423,13.5066394
21,Cameroon,407232,13.1535811,4.6125522
22,Canada,2016,-107.991707,61.0666922
23,Cayman Islands,2016,-79.9174627243246,19.703182249999998
24,Africa,16128,17.7578122,11.5024338
25,Chad,82656,19.0156172,15.6134137
26,Chile,2016,-71.3187697,-31.7613365
27,China,48384,104.999927,35.000074
28,Hong Kong,2016,114.1628131,22.2793278
29,China,2016,104.999927,35.000074
30,Colombia,54432,-73.783892,2.8894434
31,Congo,30240,16.018048574081842,-0.7179165000000001
32,Costa Rica,2016,-83.82371114343024,9.5773243
33,Croatia,14112,17.0118954,45.5643442
34,Cuba,34272,-80.8328748,23.0131338
35,Congo,199584,16.018048574081842,-0.7179165000000001
36,Djibouti,8064,42.757784519943655,11.85677545
37,Dominican Republic,2016,-70.035906834967,19.28131815
38,Ecuador,2016,-79.3666965,-1.3397668
39,Egypt,60480,29.2675469,26.2540493
40,El Salvador,2016,-88.9140683,13.8000382
41,Eritrea,6048,37.9999668,15.9500319
42,Ethiopia,66528,38.6521203,10.2116702
43,Fiji,6048,179.0122737,-18.1239696
44,Gabon,50400,11.6899699,-0.8999695
45,Gambia,2016,-16.118732162564726,13.44294275
46,Georgia,10080,-83.1137366,32.3293809
47,Germany,2016,10.4234469,51.0834196
48,Ghana,24192,-1.0840975468820433,7.8573710000000005
49,Grenada,2016,-61.6904045,12.1360374
50,Guatemala,2016,-89.8988087,15.6356088
51,Guinea,6048,-10.7083587,10.7226226
52,Guinea-Bissau,70560,-15.535471371611191,11.6688305
53,Guyana,2016,-58.6416891,4.8417097
54,Haiti,4032,-72.3570972,19.1399952
55,Honduras,2016,-86.0755145,15.2572432
56,India,2016,78.6677428,22.3511148
57,Indonesia,42336,117.8902853,-2.4833826
58,Iran,46368,54.5643516,32.6475314
59,Iraq,46368,44.1749775,33.0955793
60,Ireland,2016,-7.9794599,52.865196
61,Jamaica,2016,-77.3947693,18.1850507
62,Jordan,32256,36.941628,31.1667049
63,Kazakhstan,18144,65.2093197,47.2286086
64,Kenya,14112,38.4313975,1.4419683
65,Kuwait,2016,47.4979476,29.2733964
66,Kyrgyzstan,2016,74.724091,41.5089324
67,Lebanon,10080,35.843409,33.8750629
68,Lesotho,2016,28.3350193,-29.6039267
69,Liberia,16128,-9.3658524,5.7499721
70,Libya,2016,18.1236723,26.8234472
71,Madagascar,2016,46.4416422,-18.9249604
72,Malawi,4032,33.9301963,-13.2687204
73,Malaysia,2016,102.2656823,4.5693754
74,Mali,24192,-2.2900239,16.3700359
75,Mauritania,4032,-9.2399263,20.2540382
76,Mauritius,2016,57.5703566,-20.2759451
77,Micronesia,2016,152.00846930625,8.6065
78,Mongolia,2016,103.8499736,46.8250388
79,Montenegro,42336,19.5180992,42.9868853
80,Morocco,2016,-7.3362482,31.1728205
81,Mozambique,22176,34.9144977,-19.302233
82,Myanmar,10080,95.9999652,17.1750495
83,Namibia,2016,17.3231107,-23.2335499
84,Nepal,8064,84.0917139,28.1083929
85,Nicaragua,2016,-85.2936911,12.6090157
86,Niger,18144,9.3238432,17.7356214
87,Nigeria,12096,7.9999721,9.6000359
88,Oman,2016,57.0036901,21.0000287
89,Pakistan,120960,71.247499,30.3308401
90,Palau,2016,132.9102573,5.3783537
91,Panama,2016,-81.1308434,8.559559
92,Philippines,46368,122.7312101,12.7503486
93,Poland,22176,19.134422,52.215933
94,Qatar,2016,51.2295295,25.3336984
95,Korea,62496,127.6961188,36.638392
96,Moldova,2016,28.5670941,47.2879608
97,Romania,2016,24.6859225,45.9852129
98,Rwanda,26208,30.0644358,-1.9646631
99,Saint Lucia,2016,-60.975036,13.8250489
100,Samoa,2016,-172.1200508,-13.7693895
101,Saudi Arabia,2016,42.3528328,25.6242618
102,Senegal,8064,-14.765340959100413,14.46517725
103,Serbia,10080,20.55144,44.1534121
104,Seychelles,2016,55.4540146,-4.6574977
105,Sierra Leone,22176,-11.8400269,8.6400349
106,Singapore,2016,103.8194992,1.357107
107,Sint Maarten,2016,4.7448352,52.7736657
108,Slovakia,2016,19.4528646,48.7411522
109,Slovenia,4032,14.4808369,45.8133113
110,Somalia,36288,49.083416,8.3676771
111,South Sudan,42336,29.6667897,7.8699431
112,Sri Lanka,24192,80.7137847,7.5554942
113,Sudan,118944,29.4917691,14.5844444
114,Suriname,2016,-56.0771187,4.1413025
115,Swaziland,2016,31.3991317,-26.5624806
116,Switzerland,2016,8.444947437939408,46.813331250000005
117,Syrian Arab Rep.,28224,,
118,Tajikistan,12096,70.8156541,38.6281733
119,Thailand,24192,100.83273,14.8971921
120,Yugoslavia,32256,-81.52614194734898,23.04123655
121,Timor-Leste,2016,125.8375756,-8.5151979
122,Togo,12096,1.0199765,8.7800265
123,Trinidad and Tobago,2016,-60.9821067,10.8677845
124,Tunisia,28224,9.400138,33.8439408
125,Turkey,159264,34.9249653,38.9597594
126,Turkmenistan,2016,59.3924609,39.3763807
127,Turks and Caicos Islands,2016,-71.6201783,21.7214683
128,Uganda,24192,32.2166578,1.5333554
129,United Arab Emirates,2016,53.9994829,24.0002488
130,United Rep. of Tanzania,18144,,
131,Uruguay,2016,-56.0201525,-32.8755548
132,Uzbekistan,2016,63.9528098,41.32373
133,Venezuela,12096,-66.1109318,8.0018709
134,Yemen,66528,47.8915271,16.3471243
135,Zambia,8064,27.5589884,-14.5189121
