country,values,Longitude,Latitude
Afghanistan,2344248,66.2385139,33.7680065
Albania,7805,19.9999619,41.000028
Algeria,5939,2.9999825,28.0000272
Anguilla,0,-63.0750234,18.1954947
Antigua and Barbuda,0,-61.9554608,17.2234721
Argentina,7465,-64.9672817,-34.9964963
Armenia,3393,44.6736646,40.7696272
Aruba,0,-69.9609842,12.4902998
Azerbaijan,1281,47.7872508,40.3936294
Bahamas,31,-78.0000547,24.7736546
Bahrain,382,50.5344606,26.1551249
Bangladesh,33200,90.2932426,24.4768783
Barbados,0,-59.5250305,13.1500331
Belarus,512,27.6971358,53.4250605
Benin,1035,2.310067196,9.2231105
Bosnia and Herzegovina,5373,17.5961467,44.3053476
Botswana,2832,24.5928742,-23.1681782
Brazil,39532,-53.2,-10.3333333
Burkina Faso,32673,-1.6880314,12.0753083
Burundi,62711,29.8870575,-3.3634357
Ivory Coast,1801,-5.5679458,7.9897371
Cambodia,243,104.869423,13.5066394
Cameroon,595725,13.1535811,4.6125522
Canada,23931,-107.991707,61.0666922
Cayman Islands,18,-79.91746272,19.70318225
Central African Republic,12419,19.9981227,7.0323598
Chad,554247,19.0156172,15.6134137
Chile,1971,-71.3187697,-31.7613365
China,905,104.999927,35.000074
Colombia,534,-73.783892,2.8894434
Congo,71593,16.01804857,-0.7179165
Costa Rica,132,-83.82371114,9.5773243
Croatia,818,17.0118954,45.5643442
Cuba,325,-80.8328748,23.0131338
Curacao,111,-68.9640875,12.1845
Democratic Republic of the Congo,3318971,23.8222636,-2.9814344
Djibouti,25862,42.75778452,11.85677545
Dominican Republic,1388,-70.03590683,19.28131815
Ecuador,60524,-79.3666965,-1.3397668
Egypt,263424,29.2675469,26.2540493
El Salvador,46,-88.9140683,13.8000382
Eritrea,2366,37.9999668,15.9500319
Ethiopia,681611,38.6521203,10.2116702
Fiji,12,179.0122737,-18.1239696
Gabon,2792,11.6899699,-0.8999695
Gambia,7940,-16.11873216,13.44294275
Georgia,276780,-83.1137366,32.3293809
Germany,1268845,10.4234469,51.0834196
Ghana,13236,-1.084097547,7.857371
Grenada,0,-61.6904045,12.1360374
Guatemala,302,-89.8988087,15.6356088
Guinea,5176,-10.7083587,10.7226226
Guinea-Bissau,8716,-15.53547137,11.6688305
